,Kraj,Sprzedawca,Data zamowienia,idZamowienia,Utarg
132,Niemcy,Callahan,2004-01-16,10380,1313.82
144,Niemcy,Fuller,2004-01-01,10392,1440.0
145,Niemcy,Davolio,2004-01-03,10393,2556.95
146,Niemcy,Davolio,2004-01-03,10394,442.0
147,Polska,Sowiński,2004-01-03,10395,2122.92
148,Niemcy,Davolio,2004-01-06,10396,1903.8
149,Polska,Kowalski,2004-01-02,10397,716.72
150,Niemcy,Fuller,2004-01-09,10398,2505.6
151,Niemcy,Callahan,2004-01-08,10399,1765.6
152,Niemcy,Davolio,2004-01-16,10400,3063.0
153,Niemcy,Davolio,2004-01-10,10401,3868.6
154,Niemcy,Callahan,2004-01-10,10402,2713.5
155,Niemcy,Peacock,2004-01-09,10403,855.01
156,Niemcy,Fuller,2004-01-08,10404,1591.25
157,Niemcy,Davolio,2004-01-22,10405,400.0
158,Polska,King,2004-01-13,10406,1830.78
159,Niemcy,Fuller,2004-01-30,10407,1194.0
160,Niemcy,Callahan,2004-01-14,10408,1622.4
161,Niemcy,Leverling,2004-01-14,10409,319.2
162,Niemcy,Leverling,2004-01-15,10410,802.0
163,Polska,Dudek,2004-01-21,10411,966.8
164,Niemcy,Callahan,2004-01-15,10412,334.8
165,Niemcy,Leverling,2004-01-16,10413,2123.2
166,Niemcy,Fuller,2004-01-17,10414,224.83
167,Niemcy,Leverling,2004-01-24,10415,102.4
168,Niemcy,Callahan,2004-01-27,10416,720.0
169,Niemcy,Peacock,2004-01-28,10417,11188.4
170,Niemcy,Peacock,2004-01-24,10418,1814.8
171,Niemcy,Peacock,2004-01-30,10419,2097.6
172,Niemcy,Leverling,2004-01-27,10420,1707.84
173,Niemcy,Callahan,2004-01-27,10421,1194.27
174,Niemcy,Fuller,2004-01-31,10422,49.8
175,Polska,Sowiński,2004-02-24,10423,1020.0
176,Polska,King,2004-01-27,10424,9194.56
177,Polska,Sowiński,2004-02-14,10425,360.0
178,Niemcy,Peacock,2004-02-06,10426,338.2
179,Niemcy,Peacock,2004-03-03,10427,651.0
180,Polska,King,2004-02-04,10428,192.0
181,Niemcy,Leverling,2004-02-07,10429,1441.37
182,Niemcy,Peacock,2004-02-03,10430,4899.2
183,Niemcy,Peacock,2004-02-07,10431,1892.25
184,Niemcy,Leverling,2004-02-07,10432,485.0
185,Niemcy,Leverling,2004-03-04,10433,851.2
186,Niemcy,Leverling,2004-02-13,10434,321.12
187,Niemcy,Callahan,2004-02-07,10435,631.6
188,Niemcy,Leverling,2004-02-11,10436,1994.52
189,Niemcy,Callahan,2004-02-12,10437,393.0
190,Niemcy,Leverling,2004-02-14,10438,454.0
191,Polska,Sowiński,2004-02-10,10439,1078.0
192,Niemcy,Peacock,2004-02-28,10440,4924.13
193,Niemcy,Leverling,2004-03-14,10441,1755.0
194,Niemcy,Leverling,2004-02-18,10442,1792.0
195,Niemcy,Callahan,2004-02-14,10443,517.44
196,Niemcy,Leverling,2004-02-21,10444,1031.7
197,Niemcy,Leverling,2004-02-20,10445,174.9
198,Polska,Sowiński,2004-02-19,10446,246.24
199,Niemcy,Peacock,2004-03-07,10447,914.4
200,Niemcy,Peacock,2004-02-24,10448,443.4
201,Niemcy,Leverling,2004-02-27,10449,1838.2
202,Niemcy,Callahan,2004-03-11,10450,425.12
203,Niemcy,Peacock,2004-03-12,10451,3849.66
204,Niemcy,Callahan,2004-02-26,10452,2018.5
205,Niemcy,Davolio,2004-02-26,10453,407.7
206,Niemcy,Peacock,2004-02-25,10454,331.2
207,Niemcy,Callahan,2004-03-03,10455,2684.0
